seed,family,depth,n_hot,p_cold,duty_spread,mean_duty,contested,n_2q,cut,f_2xSC,f_2xNA,f_SCNA,mk_2xSC,mk_2xNA,mk_SCNA,comm_2xSC,comm_2xNA,comm_SCNA,part_2xSC,part_2xNA,part_SCNA,best_homo,f_best_homo,mk_best_homo,rel_gain_pct,mk_ratio,mk_dominated,pareto_win,winner,liveness,idle_rate
0,hotcore,20,4,0.154,0.2807,0.4116,0,30,8,0.677251,0.658974,0.678628,4460.0,18000.0,9160.0,8,8,8,0|1|4|5,0|1|4|5,2|3|6|7,2xSC,0.677251,4460.0,0.427,2.0538,1,0,SC+NA,0.556250,0.443750
1,hotcore,20,4,0.171,0.2594,0.3613,0,22,7,0.667326,0.692913,0.658523,4880.0,17000.0,12240.0,7,7,7,0|1|4|7,0|2|4|7,1|3|5|6,2xNA,0.692913,17000.0,-11.199,0.72,0,0,2xNA,0.487500,0.512500
2,hotcore,20,3,0.19,0.3156,0.3809,0,28,7,0.670288,0.681603,0.713925,5260.0,19500.0,7680.0,7,7,7,0|2|3|7,0|2|3|7,1|4|5|6,2xNA,0.681603,19500.0,10.152,0.3938,0,1,SC+NA,0.487500,0.512500
3,hotcore,20,5,0.113,0.2783,0.3894,1,27,7,0.69565,0.687618,0.682201,5860.0,17500.0,10360.0,7,7,7,0|5|6|7,0|5|6|7,0|5|6|7,2xSC,0.69565,5860.0,-4.419,1.7679,0,0,2xSC,0.506250,0.493750
4,hotcore,20,3,0.03,0.2912,0.2576,0,16,0,0.849987,0.897846,0.94009,5460.0,16500.0,5460.0,0,0,0,0|1|3|6,0|1|3|6,0|1|3|6,2xNA,0.897846,16500.0,41.353,0.3309,0,1,SC+NA,0.312500,0.687500
5,hotcore,20,5,0.151,0.2149,0.4058,1,29,10,0.636348,0.622121,0.61217,4920.0,17000.0,13520.0,10,10,10,0|2|4|5,0|2|4|5,1|3|6|7,2xSC,0.636348,4920.0,-6.649,2.748,0,0,2xSC,0.612500,0.387500
6,hotcore,20,4,0.166,0.2316,0.3861,0,28,10,0.621369,0.61249,0.589238,4280.0,18000.0,10360.0,10,10,12,0|5|6|7,0|5|6|7,0|1|4|7,2xSC,0.621369,4280.0,-8.486,2.4206,0,0,2xSC,0.537500,0.462500
7,hotcore,20,3,0.039,0.3229,0.312,0,16,2,0.758144,0.833784,0.849862,6080.0,14500.0,6280.0,2,2,2,0|3|5|6,0|3|5|6,1|2|4|7,2xNA,0.833784,14500.0,9.673,0.4331,0,1,SC+NA,0.337500,0.662500
8,hotcore,20,5,0.193,0.2481,0.4483,1,33,12,0.561427,0.565304,0.539731,5660.0,18000.0,13500.0,12,12,12,0|1|4|7,0|1|4|7,0|1|4|7,2xNA,0.565304,18000.0,-5.883,0.75,0,0,2xNA,0.568750,0.431250
9,hotcore,20,5,0.081,0.2929,0.4738,1,35,11,0.550903,0.566321,0.55239,6460.0,19000.0,12700.0,11,11,11,0|2|3|4,0|2|3|4,0|2|3|4,2xNA,0.566321,19000.0,-3.212,0.6684,0,0,2xNA,0.587500,0.412500
