seed,rho,top1,top3,aer_rank_of_efcl_pick,dF_miss,dF_spread,efcl_pick_category,aer_best_category,n_hot,n_boundaries
0,0.9794117647058824,0,0,4,0.056828671746748105,0.3348333387371476,baseline,baseline,4,10
1,0.9352941176470588,1,1,1,nan,0.22718506890805013,baseline,baseline,4,14
2,0.8823529411764707,0,1,2,0.004773979628537206,0.30709642128729725,perturb,baseline,4,15
3,0.9,1,1,1,nan,0.3459090142623428,baseline,baseline,4,16
4,0.9558823529411766,0,1,2,0.006315523206138152,0.18975130277836677,baseline,perturb,4,11
5,0.9558823529411766,1,1,1,nan,0.253912171870799,baseline,baseline,4,16
6,0.9205882352941176,0,1,3,0.02060705156714704,0.25902849646265846,perturb,baseline,4,11
7,0.9382352941176471,0,0,4,0.027780918583736658,0.27964864378652815,baseline,perturb,5,10
8,0.9411764705882352,0,1,2,0.005214359233487342,0.22883482639495245,perturb,baseline,3,11
9,0.9529411764705882,0,0,4,0.05920247044091442,0.25922432133792556,baseline,baseline,5,13
10,0.8852941176470588,0,1,2,0.013194154796573043,0.2770373154538548,perturb,baseline,4,14
11,0.9735294117647059,1,1,1,nan,0.36905284331000543,baseline,baseline,4,15
12,0.9735294117647059,0,1,2,0.015557012108902812,0.264092383307414,perturb,perturb,4,17
13,0.9676470588235294,1,1,1,nan,0.3087035870340924,baseline,baseline,4,10
14,0.9588235294117649,0,1,2,8.6898805970681e-05,0.323635953238574,baseline,perturb,4,10
15,0.9558823529411766,0,1,2,0.0002445956853631692,0.3131577023011517,perturb,baseline,5,15
16,0.9470588235294116,1,1,1,nan,0.2806342906382102,baseline,baseline,4,12
17,0.9205882352941176,0,0,4,0.05226606193987049,0.2781450022289006,random,perturb,4,11
18,0.5176470588235293,0,0,4,0.020877416806299842,0.20446863430660944,random,baseline,4,11
19,0.8588235294117647,0,0,4,0.059960442196473784,0.26556794446128296,baseline,perturb,4,13
20,0.888235294117647,0,1,2,0.009278995007613422,0.24013636271337696,perturb,baseline,3,9
21,0.9294117647058824,0,1,2,0.005926820452043291,0.2631692712443039,random,baseline,5,10
22,0.9294117647058824,1,1,1,nan,0.27409279051118796,baseline,baseline,3,8
23,0.8588235294117647,1,1,1,nan,0.3376329623460057,baseline,baseline,3,10
24,0.9676470588235294,0,0,4,0.06081310793642125,0.33942500913914636,baseline,perturb,4,13
26,0.9558823529411766,1,1,1,nan,0.2569218296768487,baseline,baseline,4,10
28,0.9411764705882352,1,1,1,nan,0.33792419529246837,baseline,baseline,4,13
29,0.911764705882353,0,0,5,0.07705640851862272,0.2733051167661816,baseline,baseline,4,12
30,0.961764705882353,1,1,1,nan,0.2844610498095175,baseline,baseline,4,13
31,0.9852941176470588,1,1,1,nan,0.27257287381391426,baseline,baseline,4,10
